"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Lockdown Lewd UP!","0","0","7","0","8.79","8.79","1.26","727.29","-57,478.3","9.94","0.55","15","3.30","2020-10-29","1353900"
"Locked Fears","0","0","5","0","6.65","6.65","1.32","1.81","-37.5","21.09","6.10","20","3.46","2016-12-24","549910"
"Locked in my Darkness","0","0","5","0","3.13","3.13","0.60","1.10","-81.8","2.64","13.84","36","1.59","2025-03-19","2095140"
"Loco Motive","0","0","6","0","3.73","3.73","0.60","0.00","100.0","1.81","3.62","24","1.59","2024-11-22","1709880"
"Locoland","0","0","5","0","2.64","2.64","0.55","0.33","40.0","0.16","0.16","29","1.43","2015-05-27","352130"
"LocoSoccer Classic","0","0","5","0","2.42","2.42","0.49","0.27","44.4","0.16","0.16","41","1.26","2015-12-11","396360"
"Loddlenaut","0","0","6","0","2.64","2.64","0.44","0.44","0.0","0.27","0.22","105","1.15","2023-12-22","1644940"
"Lode Runner Legacy","0","0","7","0","7.96","7.96","1.15","1.21","-4.8","2.64","0.38","16","4.01","2017-06-22","628660"
"Lofi Ping Pong","0","0","7","0","5.00","5.00","0.71","0.77","-7.7","7.36","1.48","21","1.87","2021-02-16","1028570"
"Log Drive Runner","0","0","6","0","3.62","3.62","0.60","0.60","0.0","13.78","6.21","11","1.59","2016-09-06","464040"
